ID;Name;Alarm text [de-DE], Alarm text;FieldInfo [Alarm text];Class;Trigger tag;Trigger bit;Acknowledgement tag;Acknowledgement bit;PLC acknowledgement tag;PLC acknowledgement bit;Group;Report;Info text [de-DE], Info text
21;Bitmeldung_21;Fassschmelzer 2 Sammelmeldung Error;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;28;<No value>;0;<No value>;0;<No value>;False;<No value>
22;Bitmeldung_22;Fassschmelzer 2 im Aufheizbetrieb;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;29;<No value>;0;<No value>;0;<No value>;False;<No value>
23;Bitmeldung_23;Fassschmelzer 2 Absenktemperatur ist ein;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;30;<No value>;0;<No value>;0;<No value>;False;<No value>
24;Bitmeldung_24;Fassschmelzer 2 Stempel außerhalb des Fass;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;31;<No value>;0;<No value>;0;<No value>;False;<No value>
25;Bitmeldung_25;Fassschmelzer 2 Fass leer;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;16;<No value>;0;<No value>;0;<No value>;False;<No value>
26;Bitmeldung_26;Fassschmelzer 2 kein Fass eingesetzt;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;17;<No value>;0;<No value>;0;<No value>;False;<No value>
28;Bitmeldung_28;Fassschmelzer 3 Sammelmeldung Warnung;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;21;<No value>;0;<No value>;0;<No value>;False;<No value>
29;Bitmeldung_29;Fassschmelzer 2 Schalter Stempel abwärts anwählen;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;18;<No value>;0;<No value>;0;<No value>;False;<No value>
30;Bitmeldung_30;Fassschmelzer 2 Fass Kleberfüllstand niedrig;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;19;<No value>;0;<No value>;0;<No value>;False;<No value>
31;Bitmeldung_31;Fassschmelzer 3 Sammelmeldung Error;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;22;<No value>;0;<No value>;0;<No value>;False;<No value>
32;Bitmeldung_32;Fassschmelzer 3 im Aufheizbetrieb;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;23;<No value>;0;<No value>;0;<No value>;False;<No value>
33;Bitmeldung_33;Fassschmelzer 3 Absenktemperatur ist ein;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;40;<No value>;0;<No value>;0;<No value>;False;<No value>
34;Bitmeldung_34;Fassschmelzer 3 Stempel außerhalb des Fass;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;41;<No value>;0;<No value>;0;<No value>;False;<No value>
35;Bitmeldung_35;Fassschmelzer 3 Fass leer;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;42;<No value>;0;<No value>;0;<No value>;False;<No value>
36;Bitmeldung_36;Fassschmelzer 3 kein Fass eingesetzt;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;43;<No value>;0;<No value>;0;<No value>;False;<No value>
37;Bitmeldung_37;Fassschmelzer 3 Schalter Stempel abwärts anwählen;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;44;<No value>;0;<No value>;0;<No value>;False;<No value>
38;Bitmeldung_38;Fassschmelzer 3 Fass Kleberfüllstand niedrig;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;45;<No value>;0;<No value>;0;<No value>;False;<No value>
39;Bitmeldung_39;Fassschmelzer 4 nicht Betriebsbereit;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;46;<No value>;0;<No value>;0;<No value>;False;<No value>
40;Bitmeldung_40;Fassschmelzer 4 Sammelmeldung Warnung;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;47;<No value>;0;<No value>;0;<No value>;False;<No value>
41;Bitmeldung_41;Fassschmelzer 4 Sammelmeldung Error;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;32;<No value>;0;<No value>;0;<No value>;False;<No value>
42;Bitmeldung_42;Fassschmelzer 4 im Aufheizbetrieb;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;33;<No value>;0;<No value>;0;<No value>;False;<No value>
43;Bitmeldung_43;Fassschmelzer 4 Absenktemperatur ist ein;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;34;<No value>;0;<No value>;0;<No value>;False;<No value>
44;Bitmeldung_44;Fassschmelzer 4 Stempel außerhalb des Fass;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;35;<No value>;0;<No value>;0;<No value>;False;<No value>
45;Bitmeldung_45;Fassschmelzer 4 Fass leer;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;36;<No value>;0;<No value>;0;<No value>;False;<No value>
46;Bitmeldung_46;Fassschmelzer 4 kein Fass eingesetzt;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;37;<No value>;0;<No value>;0;<No value>;False;<No value>
47;Bitmeldung_47;Fassschmelzer 4 Schalter Stempel abwärts anwählen;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;38;<No value>;0;<No value>;0;<No value>;False;<No value>
48;Bitmeldung_48;Fassschmelzer 4 Fass Kleberfüllstand niedrig;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;39;<No value>;0;<No value>;0;<No value>;False;<No value>
49;Bitmeldung_49;VersaBlue Tank 1 Kleberfüllstand niedrig;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;56;<No value>;0;<No value>;0;<No value>;False;<No value>
50;Bitmeldung_50;VersaBlue Tank 1 leer;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;57;<No value>;0;<No value>;0;<No value>;False;<No value>
51;Bitmeldung_51;VersaBlue Tank 2 Kleberfüllstand niedrig;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;58;<No value>;0;<No value>;0;<No value>;False;<No value>
52;Bitmeldung_52;Gewichtsabweichung zu groß Sollwert / Istwert;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;59;<No value>;0;<No value>;0;<No value>;False;<No value>
53;Bitmeldung_53;Motorfreigabetemperatur nicht erreicht;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;60;<No value>;0;<No value>;0;<No value>;False;<No value>
500;Bitmeldung_500;EA SYS Not-Aus / Not-Halt ist aktiv;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;8;<No value>;0;<No value>;0;<No value>;False;<No value>
501;Bitmeldung_501;EA SYS Fehler 24VDC;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;9;<No value>;0;<No value>;0;<No value>;False;<No value>
502;Bitmeldung_502;EA SYS Fehler Profibus DP;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;10;<No value>;0;<No value>;0;<No value>;False;<No value>
503;Bitmeldung_503;EA SYS Fehler 24VAC Düsenheizung;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;11;<No value>;0;<No value>;0;<No value>;False;<No value>
504;Bitmeldung_504;EA SYS Fehler Heizungsschütz;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;12;<No value>;0;<No value>;0;<No value>;False;<No value>
505;Bitmeldung_505;EA SYS Übertemperatur Transformer;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;13;<No value>;0;<No value>;0;<No value>;False;<No value>
506;Bitmeldung_506;EA SYS Fehler Antriebsschütz;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;14;<No value>;0;<No value>;0;<No value>;False;<No value>
507;Bitmeldung_507;EA SYS Fehler Leistungsschütz;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;15;<No value>;0;<No value>;0;<No value>;False;<No value>
508;Bitmeldung_508;EA SYS Spare;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;0;<No value>;0;<No value>;0;<No value>;False;<No value>
509;Bitmeldung_509;EA SYS Spare;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;1;<No value>;0;<No value>;0;<No value>;False;<No value>
510;Bitmeldung_510;EA SYS Spare;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;2;<No value>;0;<No value>;0;<No value>;False;<No value>
511;Bitmeldung_511;EA SYS Spare;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;3;<No value>;0;<No value>;0;<No value>;False;<No value>
512;Bitmeldung_512;EA SYS Spare;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;4;<No value>;0;<No value>;0;Meldegruppe1;False;<No value>
513;Bitmeldung_513;EA SYS Spare;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;5;<No value>;0;<No value>;0;Meldegruppe1;False;<No value>
514;Bitmeldung_514;EA SYS Spare;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;6;<No value>;0;<No value>;0;Meldegruppe1;False;<No value>
515;Bitmeldung_515;EA SYS Spare;;Errors;SYS_HMI_Messages\SYS_EA_Err_Messages;7;<No value>;0;<No value>;0;Meldegruppe1;False;<No value>
650;Bitmeldung_650;EB SYS Not-Aus / Not-Halt ist aktiv;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;8;<No value>;0;<No value>;0;<No value>;False;<No value>
651;Bitmeldung_651;EB SYS Fehler 24VDC;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;9;<No value>;0;<No value>;0;<No value>;False;<No value>
652;Bitmeldung_652;EB SYS Fehler Profibus DP;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;10;<No value>;0;<No value>;0;<No value>;False;<No value>
653;Bitmeldung_653;EB SYS Fehler 24VAC Düsenheizung;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;11;<No value>;0;<No value>;0;<No value>;False;<No value>
654;Bitmeldung_654;EB SYS Fehler Heizungsschütz;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;12;<No value>;0;<No value>;0;<No value>;False;<No value>
655;Bitmeldung_655;EB SYS Übertemperatur Transformer;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;13;<No value>;0;<No value>;0;<No value>;False;<No value>
656;Bitmeldung_656;EB SYS Fehler Antriebsschütz;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;14;<No value>;0;<No value>;0;<No value>;False;<No value>
657;Bitmeldung_657;EB SYS Fehler Leistungsschütz;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;15;<No value>;0;<No value>;0;<No value>;False;<No value>
658;Bitmeldung_658;EB SYS Spare;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;0;<No value>;0;<No value>;0;<No value>;False;<No value>
659;Bitmeldung_659;EB SYS Spare;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;1;<No value>;0;<No value>;0;<No value>;False;<No value>
660;Bitmeldung_660;EB SYS Spare;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;2;<No value>;0;<No value>;0;<No value>;False;<No value>
661;Bitmeldung_661;EB SYS Spare;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;3;<No value>;0;<No value>;0;<No value>;False;<No value>
662;Bitmeldung_662;EB SYS Spare;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;4;<No value>;0;<No value>;0;Meldegruppe1;False;<No value>
663;Bitmeldung_663;EB SYS Spare;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;5;<No value>;0;<No value>;0;Meldegruppe1;False;<No value>
664;Bitmeldung_664;EB SYS Spare;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;6;<No value>;0;<No value>;0;Meldegruppe1;False;<No value>
665;Bitmeldung_665;EB SYS Spare;;Errors;SYS_HMI_Messages\SYS_EB_Err_Messages;7;<No value>;0;<No value>;0;Meldegruppe1;False;<No value>
800;Bitmeldung_800;EC SYS Not-Aus / Not-Halt ist aktiv;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;8;<No value>;0;<No value>;0;<No value>;False;<No value>
801;Bitmeldung_801;EC SYS Fehler 24VDC;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;9;<No value>;0;<No value>;0;<No value>;False;<No value>
802;Bitmeldung_802;EC SYS Fehler Profibus DP;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;10;<No value>;0;<No value>;0;<No value>;False;<No value>
803;Bitmeldung_803;EC SYS Fehler 24VAC Düsenheizung;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;11;<No value>;0;<No value>;0;<No value>;False;<No value>
804;Bitmeldung_804;EC SYS Fehler Heizungsschütz;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;12;<No value>;0;<No value>;0;<No value>;False;<No value>
805;Bitmeldung_805;EC SYS Übertemperatur Transformer;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;13;<No value>;0;<No value>;0;<No value>;False;<No value>
806;Bitmeldung_806;EC SYS Fehler Antriebsschütz;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;14;<No value>;0;<No value>;0;<No value>;False;<No value>
807;Bitmeldung_807;EC SYS Fehler Leistungsschütz;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;15;<No value>;0;<No value>;0;<No value>;False;<No value>
808;Bitmeldung_808;EC SYS Spare;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;0;<No value>;0;<No value>;0;<No value>;False;<No value>
809;Bitmeldung_809;EC SYS Spare;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;1;<No value>;0;<No value>;0;<No value>;False;<No value>
810;Bitmeldung_810;EC SYS Spare;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;2;<No value>;0;<No value>;0;<No value>;False;<No value>
811;Bitmeldung_811;EC SYS Spare;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;3;<No value>;0;<No value>;0;<No value>;False;<No value>
812;Bitmeldung_812;EC SYS Spare;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;4;<No value>;0;<No value>;0;Meldegruppe1;False;<No value>
813;Bitmeldung_813;EC SYS Spare;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;5;<No value>;0;<No value>;0;Meldegruppe1;False;<No value>
814;Bitmeldung_814;EC SYS Spare;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;6;<No value>;0;<No value>;0;Meldegruppe1;False;<No value>
815;Bitmeldung_815;EC SYS Spare;;Errors;SYS_HMI_Messages\SYS_EC_Err_Messages;7;<No value>;0;<No value>;0;Meldegruppe1;False;<No value>
3000;Bitmeldung_3000;EA FM Druck am Eingang FlowMeter max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;8;<No value>;0;<No value>;0;<No value>;False;<No value>
3001;Bitmeldung_3001;EA FM Druck am Eingang FlowMeter min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;9;<No value>;0;<No value>;0;<No value>;False;<No value>
3002;Bitmeldung_3002;EA FM Druck am Eingang FlowMeter Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;10;<No value>;0;<No value>;0;<No value>;False;<No value>
3003;Bitmeldung_3003;EA FM Druck am Ausgang Pumpe 1 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;11;<No value>;0;<No value>;0;<No value>;False;<No value>
3004;Bitmeldung_3004;EA FM Druck am Ausgang Pumpe 1 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;12;<No value>;0;<No value>;0;<No value>;False;<No value>
3005;Bitmeldung_3005;EA FM Druck am Ausgang Pumpe 1 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;13;<No value>;0;<No value>;0;<No value>;False;<No value>
3006;Bitmeldung_3006;EA FM Druck am Ausgang Pumpe 2 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;14;<No value>;0;<No value>;0;<No value>;False;<No value>
3007;Bitmeldung_3007;EA FM Druck am Ausgang Pumpe 2 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;15;<No value>;0;<No value>;0;<No value>;False;<No value>
3008;Bitmeldung_3008;EA FM Druck am Ausgang Pumpe 2 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;0;<No value>;0;<No value>;0;<No value>;False;<No value>
3009;Bitmeldung_3009;EA FM Druck am Ausgang Pumpe 3 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;1;<No value>;0;<No value>;0;<No value>;False;<No value>
3010;Bitmeldung_3010;EA FM Druck am Ausgang Pumpe 3 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;2;<No value>;0;<No value>;0;<No value>;False;<No value>
3011;Bitmeldung_3011;EA FM Druck am Ausgang Pumpe 3 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;3;<No value>;0;<No value>;0;<No value>;False;<No value>
3012;Bitmeldung_3012;EA FM Druck am Ausgang Pumpe 4 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;4;<No value>;0;<No value>;0;<No value>;False;<No value>
3013;Bitmeldung_3013;EA FM Druck am Ausgang Pumpe 4 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;5;<No value>;0;<No value>;0;<No value>;False;<No value>
3014;Bitmeldung_3014;EA FM Druck am Ausgang Pumpe 4 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;6;<No value>;0;<No value>;0;<No value>;False;<No value>
3015;Bitmeldung_3015;EA FM Druck am Ausgang Pumpe 5 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;7;<No value>;0;<No value>;0;<No value>;False;<No value>
3016;Bitmeldung_3016;EA FM Druck am Ausgang Pumpe 5 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;24;<No value>;0;<No value>;0;<No value>;False;<No value>
3017;Bitmeldung_3017;EA FM Druck am Ausgang Pumpe 5 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;25;<No value>;0;<No value>;0;<No value>;False;<No value>
3018;Bitmeldung_3018;EA FM Druck am Ausgang Pumpe 6 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;26;<No value>;0;<No value>;0;<No value>;False;<No value>
3019;Bitmeldung_3019;EA FM Druck am Ausgang Pumpe 6 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;27;<No value>;0;<No value>;0;<No value>;False;<No value>
3020;Bitmeldung_3020;EA FM Druck am Ausgang Pumpe 6 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;28;<No value>;0;<No value>;0;<No value>;False;<No value>
3021;Bitmeldung_3021;EA FM Druck am Ausgang Pumpe 7 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;29;<No value>;0;<No value>;0;<No value>;False;<No value>
3022;Bitmeldung_3022;EA FM Druck am Ausgang Pumpe 7 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;30;<No value>;0;<No value>;0;<No value>;False;<No value>
3023;Bitmeldung_3023;EA FM Druck am Ausgang Pumpe 7 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;31;<No value>;0;<No value>;0;<No value>;False;<No value>
3024;Bitmeldung_3024;EA FM Druck am Ausgang Pumpe 8 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;16;<No value>;0;<No value>;0;<No value>;False;<No value>
3025;Bitmeldung_3025;EA FM Druck am Ausgang Pumpe 8 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;17;<No value>;0;<No value>;0;<No value>;False;<No value>
3026;Bitmeldung_3026;EA FM Druck am Ausgang Pumpe 8 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;18;<No value>;0;<No value>;0;<No value>;False;<No value>
3027;Bitmeldung_3027;EA FM Druck am Ausgang Pumpe 9 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;19;<No value>;0;<No value>;0;<No value>;False;<No value>
3028;Bitmeldung_3028;EA FM Druck am Ausgang Pumpe 9 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;20;<No value>;0;<No value>;0;<No value>;False;<No value>
3029;Bitmeldung_3029;EA FM Druck am Ausgang Pumpe 9 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;21;<No value>;0;<No value>;0;<No value>;False;<No value>
3030;Bitmeldung_3030;EA FM Druck am Ausgang Pumpe 10 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;22;<No value>;0;<No value>;0;<No value>;False;<No value>
3031;Bitmeldung_3031;EA FM Druck am Ausgang Pumpe 10 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;23;<No value>;0;<No value>;0;<No value>;False;<No value>
3032;Bitmeldung_3032;EA FM Druck am Ausgang Pumpe 10 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;40;<No value>;0;<No value>;0;<No value>;False;<No value>
3033;Bitmeldung_3033;EA FM Externe Leitspannung Pumpe 1 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;41;<No value>;0;<No value>;0;<No value>;False;<No value>
3034;Bitmeldung_3034;EA FM Externe Leitspannung Pumpe 1 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;42;<No value>;0;<No value>;0;<No value>;False;<No value>
3035;Bitmeldung_3035;EA FM Externe Leitspannung Pumpe 1 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;43;<No value>;0;<No value>;0;<No value>;False;<No value>
3036;Bitmeldung_3036;EA FM Externe Leitspannung Pumpe 2 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;44;<No value>;0;<No value>;0;<No value>;False;<No value>
3037;Bitmeldung_3037;EA FM Externe Leitspannung Pumpe 2 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;45;<No value>;0;<No value>;0;<No value>;False;<No value>
3038;Bitmeldung_3038;EA FM Externe Leitspannung Pumpe 2 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;46;<No value>;0;<No value>;0;<No value>;False;<No value>
3039;Bitmeldung_3039;EA FM Externe Leitspannung Pumpe 3 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;47;<No value>;0;<No value>;0;<No value>;False;<No value>
3040;Bitmeldung_3040;EA FM Externe Leitspannung Pumpe 3 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;32;<No value>;0;<No value>;0;<No value>;False;<No value>
3041;Bitmeldung_3041;EA FM Externe Leitspannung Pumpe 3 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;33;<No value>;0;<No value>;0;<No value>;False;<No value>
3042;Bitmeldung_3042;EA FM Externe Leitspannung Pumpe 4 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;34;<No value>;0;<No value>;0;<No value>;False;<No value>
3043;Bitmeldung_3043;EA FM Externe Leitspannung Pumpe 4 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;35;<No value>;0;<No value>;0;<No value>;False;<No value>
3044;Bitmeldung_3044;EA FM Externe Leitspannung Pumpe 4 Sensorbruch;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;36;<No value>;0;<No value>;0;<No value>;False;<No value>
3045;Bitmeldung_3045;EA FM Externe Leitspannung Pumpe 5 max. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;37;<No value>;0;<No value>;0;<No value>;False;<No value>
3046;Bitmeldung_3046;EA FM Externe Leitspannung Pumpe 5 min. Grenze;;Errors;SYS_HMI_Messages\PS1_EA_Err_Messages;38;<No value>;0;<No value>;0;<No value>;False;<No value>
